epoch	loss	learning_rate
0.002667	2.31	2.4e-06
0.005333	1.555	5.067e-06
0.008	1.254	7.733e-06
0.01067	1.326	1.04e-05
0.01333	0.9752	1.307e-05
0.016	0.8439	1.573e-05
0.01867	0.7818	1.84e-05
0.02133	0.7887	2.107e-05
0.024	0.5458	2.373e-05
0.02667	0.5633	2.64e-05
0.02933	0.5497	2.907e-05
0.032	0.5221	3.173e-05
0.03467	0.3768	3.44e-05
0.03733	0.4599	3.707e-05
0.04	0.4051	3.973e-05
0.04267	0.4116	4.24e-05
0.04533	0.3608	4.507e-05
0.048	0.3045	4.773e-05
0.05067	0.4262	5.04e-05
0.05333	0.3735	5.307e-05
0.056	0.3378	5.573e-05
0.05867	0.3457	5.84e-05
0.06133	0.2653	6.107e-05
0.064	0.3383	6.373e-05
0.06667	0.3643	6.64e-05
0.06933	0.3023	6.907e-05
0.072	0.3598	7.173e-05
0.07467	0.3247	7.44e-05
0.07733	0.2993	7.707e-05
0.08	0.3692	7.973e-05
0.08267	0.3439	8.24e-05
0.08533	0.2311	8.507e-05
0.088	0.3192	8.773e-05
0.09067	0.289	9.04e-05
0.09333	0.3737	9.307e-05
0.096	0.1966	9.573e-05
0.09867	0.2791	9.84e-05
0.1013	0.3878	0.0001011
0.104	0.3982	0.0001037
0.1067	0.3263	0.0001064
0.1093	0.3468	0.0001091
0.112	0.2597	0.0001117
0.1147	0.2603	0.0001144
0.1173	0.3099	0.0001171
0.12	0.3235	0.0001197
0.1227	0.2382	0.0001224
0.1253	0.3048	0.0001251
0.128	0.3291	0.0001277
0.1307	0.3107	0.0001304
0.1333	0.2975	0.0001331
0.136	0.2433	0.0001357
0.1387	0.2748	0.0001384
0.1413	0.2788	0.0001411
0.144	0.2723	0.0001437
0.1467	0.3332	0.0001464
0.1493	0.3237	0.0001491
0.152	0.3117	0.0001517
0.1547	0.3346	0.0001544
0.1573	0.3021	0.0001571
0.16	0.3538	0.0001597
0.1627	0.3002	0.0001624
0.1653	0.3264	0.0001651
0.168	0.2353	0.0001677
0.1707	0.3044	0.0001704
0.1733	0.2994	0.0001731
0.176	0.3284	0.0001757
0.1787	0.3043	0.0001784
0.1813	0.325	0.0001811
0.184	0.3541	0.0001837
0.1867	0.2917	0.0001864
0.1893	0.1848	0.0001891
0.192	0.3132	0.0001917
0.1947	0.2688	0.0001944
0.1973	0.337	0.0001971
0.2	0.2957	0.0001997
0.2027	0.3473	0.0002
0.2053	0.3335	0.0002
0.208	0.3425	0.0002
0.2107	0.2932	0.0002
0.2133	0.2022	0.0002
0.216	0.316	0.0002
0.2187	0.2191	0.0001999
0.2213	0.2718	0.0001999
0.224	0.2312	0.0001999
0.2267	0.2799	0.0001999
0.2293	0.3337	0.0001999
0.232	0.3026	0.0001998
0.2347	0.2349	0.0001998
0.2373	0.3081	0.0001998
0.24	0.2951	0.0001998
0.2427	0.3412	0.0001997
0.2453	0.3221	0.0001997
0.248	0.2539	0.0001997
0.2507	0.3311	0.0001996
0.2533	0.2894	0.0001996
0.256	0.2206	0.0001995
0.2587	0.2599	0.0001995
0.2613	0.2432	0.0001994
0.264	0.2478	0.0001994
0.2667	0.2713	0.0001993
0.2693	0.2124	0.0001993
0.272	0.2855	0.0001992
0.2747	0.2173	0.0001992
0.2773	0.3447	0.0001991
0.28	0.2448	0.000199
0.2827	0.3091	0.000199
0.2853	0.248	0.0001989
0.288	0.2294	0.0001988
0.2907	0.4194	0.0001988
0.2933	0.2331	0.0001987
0.296	0.3072	0.0001986
0.2987	0.2705	0.0001985
0.3013	0.2605	0.0001984
0.304	0.2979	0.0001984
0.3067	0.2529	0.0001983
0.3093	0.3034	0.0001982
0.312	0.2366	0.0001981
0.3147	0.2668	0.000198
0.3173	0.1463	0.0001979
0.32	0.2767	0.0001978
0.3227	0.2469	0.0001977
0.3253	0.2698	0.0001976
0.328	0.1892	0.0001975
0.3307	0.2302	0.0001974
0.3333	0.2294	0.0001973
0.336	0.2216	0.0001972
0.3387	0.3845	0.0001971
0.3413	0.2776	0.000197
0.344	0.2097	0.0001969
0.3467	0.2295	0.0001968
0.3493	0.3072	0.0001966
0.352	0.3213	0.0001965
0.3547	0.1754	0.0001964
0.3573	0.2601	0.0001963
0.36	0.2479	0.0001961
0.3627	0.3458	0.000196
0.3653	0.1916	0.0001959
0.368	0.3272	0.0001957
0.3707	0.2815	0.0001956
0.3733	0.1829	0.0001955
0.376	0.4012	0.0001953
0.3787	0.2924	0.0001952
0.3813	0.1661	0.000195
0.384	0.2473	0.0001949
0.3867	0.2106	0.0001948
0.3893	0.274	0.0001946
0.392	0.3179	0.0001945
0.3947	0.2968	0.0001943
0.3973	0.3252	0.0001941
0.4	0.3438	0.000194
0.4027	0.2786	0.0001938
0.4053	0.3303	0.0001937
0.408	0.1373	0.0001935
0.4107	0.257	0.0001933
0.4133	0.2696	0.0001932
0.416	0.2298	0.000193
0.4187	0.2202	0.0001928
0.4213	0.1636	0.0001926
0.424	0.2297	0.0001925
0.4267	0.2973	0.0001923
0.4293	0.3027	0.0001921
0.432	0.1857	0.0001919
0.4347	0.282	0.0001917
0.4373	0.2734	0.0001916
0.44	0.2256	0.0001914
0.4427	0.2494	0.0001912
0.4453	0.2463	0.000191
0.448	0.257	0.0001908
0.4507	0.2129	0.0001906
0.4533	0.2526	0.0001904
0.456	0.2722	0.0001902
0.4587	0.1819	0.00019
0.4613	0.2084	0.0001898
0.464	0.2522	0.0001896
0.4667	0.2506	0.0001894
0.4693	0.2313	0.0001892
0.472	0.3102	0.000189
0.4747	0.1579	0.0001887
0.4773	0.2496	0.0001885
0.48	0.1332	0.0001883
0.4827	0.2332	0.0001881
0.4853	0.1264	0.0001879
0.488	0.1856	0.0001877
0.4907	0.2772	0.0001874
0.4933	0.246	0.0001872
0.496	0.2169	0.000187
0.4987	0.2371	0.0001867
0.5013	0.1839	0.0001865
0.504	0.2465	0.0001863
0.5067	0.2659	0.000186
0.5093	0.2067	0.0001858
0.512	0.2374	0.0001856
0.5147	0.2419	0.0001853
0.5173	0.2307	0.0001851
0.52	0.1757	0.0001848
0.5227	0.1939	0.0001846
0.5253	0.247	0.0001843
0.528	0.1703	0.0001841
0.5307	0.2093	0.0001838
0.5333	0.251	0.0001836
0.536	0.2362	0.0001833
0.5387	0.1848	0.0001831
0.5413	0.1986	0.0001828
0.544	0.2719	0.0001825
0.5467	0.2431	0.0001823
0.5493	0.1769	0.000182
0.552	0.1863	0.0001817
0.5547	0.2232	0.0001815
0.5573	0.2637	0.0001812
0.56	0.2133	0.0001809
0.5627	0.2589	0.0001807
0.5653	0.1785	0.0001804
0.568	0.2684	0.0001801
0.5707	0.1917	0.0001798
0.5733	0.1855	0.0001795
0.576	0.2269	0.0001793
0.5787	0.1494	0.000179
0.5813	0.2721	0.0001787
0.584	0.2082	0.0001784
0.5867	0.2659	0.0001781
0.5893	0.267	0.0001778
0.592	0.2487	0.0001775
0.5947	0.1743	0.0001772
0.5973	0.1908	0.0001769
0.6	0.2249	0.0001766
0.6027	0.2499	0.0001763
0.6053	0.2244	0.000176
0.608	0.1803	0.0001757
0.6107	0.2319	0.0001754
0.6133	0.247	0.0001751
0.616	0.2538	0.0001748
0.6187	0.1384	0.0001745
0.6213	0.1714	0.0001742
0.624	0.1661	0.0001739
0.6267	0.2769	0.0001736
0.6293	0.1901	0.0001732
0.632	0.2265	0.0001729
0.6347	0.2456	0.0001726
0.6373	0.2	0.0001723
0.64	0.2345	0.000172
0.6427	0.2284	0.0001716
0.6453	0.1963	0.0001713
0.648	0.2076	0.000171
0.6507	0.1921	0.0001707
0.6533	0.1825	0.0001703
0.656	0.221	0.00017
0.6587	0.2586	0.0001697
0.6613	0.1458	0.0001693
0.664	0.2128	0.000169
0.6667	0.2814	0.0001687
0.6693	0.2052	0.0001683
0.672	0.1702	0.000168
0.6747	0.2724	0.0001676
0.6773	0.2072	0.0001673
0.68	0.185	0.0001669
0.6827	0.1837	0.0001666
0.6853	0.2617	0.0001663
0.688	0.2311	0.0001659
0.6907	0.1685	0.0001656
0.6933	0.1736	0.0001652
0.696	0.2344	0.0001648
0.6987	0.1916	0.0001645
0.7013	0.2395	0.0001641
0.704	0.1587	0.0001638
0.7067	0.188	0.0001634
0.7093	0.1757	0.0001631
0.712	0.2443	0.0001627
0.7147	0.1563	0.0001623
0.7173	0.2112	0.000162
0.72	0.2399	0.0001616
0.7227	0.2461	0.0001612
0.7253	0.1457	0.0001609
0.728	0.1738	0.0001605
0.7307	0.187	0.0001601
0.7333	0.2291	0.0001598
0.736	0.1214	0.0001594
0.7387	0.2017	0.000159
0.7413	0.206	0.0001586
0.744	0.1796	0.0001583
0.7467	0.2032	0.0001579
0.7493	0.241	0.0001575
0.752	0.2604	0.0001571
0.7547	0.1809	0.0001567
0.7573	0.1522	0.0001563
0.76	0.1967	0.000156
0.7627	0.1678	0.0001556
0.7653	0.1972	0.0001552
0.768	0.2052	0.0001548
0.7707	0.2098	0.0001544
0.7733	0.2224	0.000154
0.776	0.1848	0.0001536
0.7787	0.1446	0.0001532
0.7813	0.2252	0.0001528
0.784	0.2352	0.0001524
0.7867	0.2195	0.000152
0.7893	0.1269	0.0001516
0.792	0.1673	0.0001512
0.7947	0.191	0.0001508
0.7973	0.1904	0.0001504
0.8	0.1621	0.00015
0.8027	0.1832	0.0001496
0.8053	0.1739	0.0001492
0.808	0.1647	0.0001488
0.8107	0.2437	0.0001484
0.8133	0.2628	0.000148
0.816	0.2554	0.0001476
0.8187	0.1905	0.0001472
0.8213	0.1549	0.0001468
0.824	0.2133	0.0001464
0.8267	0.1802	0.000146
0.8293	0.1848	0.0001455
0.832	0.2426	0.0001451
0.8347	0.1393	0.0001447
0.8373	0.2161	0.0001443
0.84	0.1549	0.0001439
0.8427	0.192	0.0001435
0.8453	0.1617	0.000143
0.848	0.2081	0.0001426
0.8507	0.2005	0.0001422
0.8533	0.1773	0.0001418
0.856	0.1494	0.0001414
0.8587	0.2562	0.0001409
0.8613	0.1386	0.0001405
0.864	0.2063	0.0001401
0.8667	0.1586	0.0001397
0.8693	0.204	0.0001392
0.872	0.185	0.0001388
0.8747	0.2493	0.0001384
0.8773	0.2182	0.0001379
0.88	0.1761	0.0001375
0.8827	0.1568	0.0001371
0.8853	0.1865	0.0001366
0.888	0.173	0.0001362
0.8907	0.1745	0.0001358
0.8933	0.1556	0.0001353
0.896	0.1691	0.0001349
0.8987	0.2069	0.0001345
0.9013	0.1599	0.000134
0.904	0.1333	0.0001336
0.9067	0.1651	0.0001332
0.9093	0.2009	0.0001327
0.912	0.122	0.0001323
0.9147	0.2046	0.0001318
0.9173	0.197	0.0001314
0.92	0.1734	0.0001309
0.9227	0.1608	0.0001305
0.9253	0.1594	0.0001301
0.928	0.1425	0.0001296
0.9307	0.2021	0.0001292
0.9333	0.1572	0.0001287
0.936	0.1773	0.0001283
0.9387	0.147	0.0001278
0.9413	0.2209	0.0001274
0.944	0.1761	0.0001269
0.9467	0.1764	0.0001265
0.9493	0.1772	0.000126
0.952	0.196	0.0001256
0.9547	0.2049	0.0001251
0.9573	0.2091	0.0001247
0.96	0.2017	0.0001242
0.9627	0.1475	0.0001238
0.9653	0.1638	0.0001233
0.968	0.2001	0.0001229
0.9707	0.2032	0.0001224
0.9733	0.1921	0.000122
0.976	0.1561	0.0001215
0.9787	0.1767	0.0001211
0.9813	0.196	0.0001206
0.984	0.1607	0.0001202
0.9867	0.147	0.0001197
0.9893	0.193	0.0001192
0.992	0.1015	0.0001188
0.9947	0.2335	0.0001183
0.9973	0.1492	0.0001179
1.0	0.2184	0.0001174
1.003	0.1144	0.000117
1.005	0.1351	0.0001165
1.008	0.1203	0.000116
1.011	0.1192	0.0001156
1.013	0.09783	0.0001151
1.016	0.1105	0.0001147
1.019	0.1597	0.0001142
1.021	0.09638	0.0001137
1.024	0.1137	0.0001133
1.027	0.1466	0.0001128
1.029	0.1418	0.0001123
1.032	0.135	0.0001119
1.035	0.1378	0.0001114
1.037	0.1518	0.000111
1.04	0.1572	0.0001105
1.043	0.123	0.00011
1.045	0.1023	0.0001096
1.048	0.1267	0.0001091
1.051	0.1003	0.0001086
1.053	0.1222	0.0001082
1.056	0.1303	0.0001077
1.059	0.1577	0.0001073
1.061	0.1262	0.0001068
1.064	0.1625	0.0001063
1.067	0.1015	0.0001059
1.069	0.1017	0.0001054
1.072	0.09998	0.0001049
1.075	0.13	0.0001045
1.077	0.08033	0.000104
1.08	0.1011	0.0001035
1.083	0.1243	0.0001031
1.085	0.07466	0.0001026
1.088	0.1655	0.0001021
1.091	0.1145	0.0001017
1.093	0.09988	0.0001012
1.096	0.1147	0.0001007
1.099	0.125	0.0001003
1.101	0.1398	9.981e-05
1.104	0.09672	9.935e-05
1.107	0.1268	9.888e-05
1.109	0.1281	9.842e-05
1.112	0.1312	9.795e-05
1.115	0.1128	9.749e-05
1.117	0.1108	9.702e-05
1.12	0.09037	9.656e-05
1.123	0.1057	9.609e-05
1.125	0.1215	9.563e-05
1.128	0.1638	9.516e-05
1.131	0.1228	9.47e-05
1.133	0.1107	9.423e-05
1.136	0.1201	9.377e-05
1.139	0.1076	9.33e-05
1.141	0.1241	9.284e-05
1.144	0.126	9.237e-05
1.147	0.09626	9.191e-05
